Source,Section,Title,Year,Venue,DOI,Citations,URL
SemanticScholar,S1_CareerFair,Web-Based Career Portal for Efficient Job Search and Recruitment,2024,,10.1109/ICTBIG64922.2024.10911296,3,https://www.semanticscholar.org/paper/3ba2745f58bdd419f8f63681e4c92f3464d09f88
SemanticScholar,S1_CareerFair,Employer selection preferences among senior respiratory care students and early-career respiratory therapists: A national survey,2025,,10.1177/30682576251397778,0,https://www.semanticscholar.org/paper/4994272689462da4d227b886f0ea15b1f3f22425
SemanticScholar,S1_CareerFair,Impact of AI based Recruitment Processes on Candidate Experience and Employer Brand Perception: A study on Prospective Employees,2025,,10.47392/irjaem.2025.0525,0,https://www.semanticscholar.org/paper/870640c0de7a0f818906f85666b7dbb421e20447
SemanticScholar,S1_CareerFair,Unveiling the power of word-of-mouth in pre-recruitment employer branding strategy during COVID-19,2024,,10.1108/er-10-2023-0540,7,https://www.semanticscholar.org/paper/3fdc3f9850371dd141ab155d22a5e83ae0e84fd1
SemanticScholar,S1_CareerFair,This (AI)n’t fair? Employee reactions to artificial intelligence (AI) in career development systems,2024,Reviews of Management Sciences,10.1007/s11846-024-00789-3,29,https://www.semanticscholar.org/paper/60dc41e97abbbb7bd35aedf1c76d223c161d4099
SemanticScholar,S1_CareerFair,Employer attractiveness in start-ups: Evidence for the instrumental-symbolic framework and the role of protean career orientation,2026,"Journal of Entrepreneurship, Management and Innovation",10.7341/20262211,1,https://www.semanticscholar.org/paper/5eaacfef7853cca1cd3f43be63f9c8322ad1412d
SemanticScholar,S1_CareerFair,Identifying and Categorizing Industry Recruitment Display Materials at a 4-year Construction Management Degree Program’s Career Fair Events,2021,,10.29007/83NQ,2,https://www.semanticscholar.org/paper/0814b37f7aa74866a8b5464575d2aeec7b04a7b5
SemanticScholar,S1_CareerFair,"Corporate Social Responsibility, Employer Brand, Employee Benefits, and Career Development on Generation Z’s Intention to Apply Job: The Mediating Role of Corporate Reputation",2026,Dinasti International Journal of Education Management And Social Science,10.38035/dijemss.v7i3.6020,0,https://www.semanticscholar.org/paper/e542f69b6d3ceded79621f21f2e797a2bde15b1c
SemanticScholar,S1_CareerFair,Virtual Career Fairs: Best Practices and Student Satisfaction,2022,Journal for advancement of marketing education,10.63963/001c.150609,3,https://www.semanticscholar.org/paper/e1cf42f935564b4727f3c6cc63b4d4fa5e96c76f
SemanticScholar,S1_CareerFair,Predictive Model for Student Career Success Using Blockchain Technology and Machine learning,2025,,10.1109/cictn64563.2025.10932537,1,https://www.semanticscholar.org/paper/aa46a4561e031711b12bde507c92c9452e339dfe
