Source,Section,Title,Year,Venue,DOI,Citations,URL,SCI_E
SemanticScholar,S1_CareerFair,Navigating the Engineering Career Fair with Speed Dating Style,2015,IEEE potentials,10.1109/MPOT.2015.2397574,1,https://www.semanticscholar.org/paper/075fe769b983250839841f1259fd3931f3a07580,True
CrossRef,S1_CareerFair,Student Interaction,2024,Springer Texts in Education,10.1007/978-3-031-50161-6_28,,https://doi.org/10.1007/978-3-031-50161-6_28,True
OpenAlex,S2_StudentMatching,A Survey on Bias and Fairness in Machine Learning,2021,ACM Computing Surveys,https://doi.org/10.1145/3457607,317,https://openalex.org/W2969896603,True
CrossRef,S2_StudentMatching,Fair Reciprocal Recommendation in Matching Markets,2024,18th ACM Conference on Recommender Systems,10.1145/3640457.3688130,,https://doi.org/10.1145/3640457.3688130,True
SemanticScholar,S3_ML_CareerEdu,Career Prediction Model Using Big Data Analytics,2026,IEEE International Conference on Circuits and Systems for Communications,10.1109/ICCSC67078.2026.11468641,0,https://www.semanticscholar.org/paper/a2d02bce2f1a7e19350ec22ee928958574ac938c,True
SemanticScholar,S3_ML_CareerEdu,Multiclass Prediction Model for Student Grade Prediction Using Machine Learning,2023,IEEE Access,10.1109/ACCESS.2021.3093563,143,https://www.semanticscholar.org/paper/c43ef40f7656bc5bb80cad82c6dc27cbba9d6846,True
OpenAlex,S3_ML_CareerEdu,Artificial Intelligence in Education: A Review,2020,IEEE Access,https://doi.org/10.1109/access.2020.2988510,3392,https://openalex.org/W3017131514,True
OpenAlex,S3_ML_CareerEdu,Analytic Study for Predictor Development on Student Participation in Generic Competence Development Activities Based on Academic Performance,2023,IEEE Transactions on Learning Technologies,https://doi.org/10.1109/tlt.2023.3291310,19,https://openalex.org/W4383112416,True
OpenAlex,S3_ML_CareerEdu,"Digital Twin: Values, Challenges and Enablers From a Modeling Perspective",2020,IEEE Access,https://doi.org/10.1109/access.2020.2970143,1678,https://openalex.org/W3003667836,True
SemanticScholar,S4_BipartiteGraph,Hierarchical Bipartite Graph Convolutional Network for Recommendation,2024,IEEE Computational Intelligence Magazine,10.1109/MCI.2024.3363973,3,https://www.semanticscholar.org/paper/b1d3271836c484290b62c80853c7813357b85dcd,True
SemanticScholar,S4_BipartiteGraph,Temporal Knowledge Graph Incremental Evolution Model for Sequential Recommendation,2025,IEEE International Joint Conference on Neural Network,10.1109/IJCNN64981.2025.11228451,0,https://www.semanticscholar.org/paper/f210516792152176f3154ae38c0d6f2369210823,True
