Source,Title,Year,Venue,DOI,Citations,URL,SCI_E
OpenAlex,Path Planning for UAV-Mounted Mobile Edge Computing With Deep Reinforcement Learning,2020,,https://doi.org/10.1109/tvt.2020.2982508,246,https://openalex.org/W3013960924,False
OpenAlex,Towards Real-Time Path Planning through Deep Reinforcement Learning for a UAV in Dynamic Environments,2019,,https://doi.org/10.1007/s10846-019-01073-3,256,https://openalex.org/W2971481292,False
OpenAlex,Deep Reinforcement Learning for Interference-Aware Path Planning of Cellular-Connected UAVs,2018,,https://doi.org/10.1109/icc.2018.8422706,138,https://openalex.org/W2887784286,False
OpenAlex,Multi-UAV Path Planning for Wireless Data Harvesting With Deep Reinforcement Learning,2021,,https://doi.org/10.1109/ojcoms.2021.3081996,132,https://openalex.org/W3093571944,False
OpenAlex,Explainable Deep Reinforcement Learning for UAV autonomous path planning,2021,,https://doi.org/10.1016/j.ast.2021.107052,130,https://openalex.org/W3198804470,False
OpenAlex,A Deep Learning Trained by Genetic Algorithm to Improve the Efficiency of Path Planning for Data Collection With Multi-UAV,2021,,https://doi.org/10.1109/access.2021.3049892,111,https://openalex.org/W3119286118,False
OpenAlex,Path Planning for UAV Ground Target Tracking via Deep Reinforcement Learning,2020,,https://doi.org/10.1109/access.2020.2971780,128,https://openalex.org/W3005243570,False
OpenAlex,UAV Coverage Path Planning under Varying Power Constraints using Deep Reinforcement Learning,2020,,https://doi.org/10.1109/iros45743.2020.9340934,87,https://openalex.org/W3126413449,False
OpenAlex,UAV Path Planning using Global and Local Map Information with Deep Reinforcement Learning,2021,,https://doi.org/10.1109/icar53236.2021.9659413,45,https://openalex.org/W3093365091,False
OpenAlex,A UAV Path Planning Method Based on Deep Reinforcement Learning,2020,,https://doi.org/10.23919/usnc/ursi49741.2020.9321625,33,https://openalex.org/W3126890992,False
OpenAlex,iADA*-RL: Anytime Graph-Based Path Planning with Deep Reinforcement Learning for an Autonomous UAV,2021,,https://doi.org/10.3390/app11093948,39,https://openalex.org/W3159605226,False
OpenAlex,Adaptive Path Planning for Fusing Rapidly Exploring Random Trees and Deep Reinforcement Learning in an Agriculture Dynamic Environment UAVs,2023,,https://doi.org/10.3390/agriculture13020354,52,https://openalex.org/W4318777652,False
OpenAlex,Deep Reinforcement Learning for Trajectory Path Planning and Distributed Inference in Resource-Constrained UAV Swarms,2022,,https://doi.org/10.1109/jiot.2022.3231341,35,https://openalex.org/W4312108576,False
OpenAlex,Deep Reinforcement Learning based Path Planning for UAV-assisted Edge Computing Networks,2021,,https://doi.org/10.1109/wcnc49053.2021.9417292,28,https://openalex.org/W3162630617,False
OpenAlex,Multi-UAV Adaptive Path Planning Using Deep Reinforcement Learning,2023,,https://doi.org/10.1109/iros55552.2023.10342516,22,https://openalex.org/W4389666571,False
OpenAlex,Dynamic Scene Path Planning of UAVs Based on Deep Reinforcement Learning,2024,,https://doi.org/10.3390/drones8020060,20,https://openalex.org/W4391693424,False
OpenAlex,Adaptive Informative Path Planning Using Deep Reinforcement Learning for UAV-based Active Sensing,2022,,https://doi.org/10.1109/icra46639.2022.9812025,42,https://openalex.org/W3202615380,False
OpenAlex,Deep Reinforcement Learning with Noise Injection for UAV Path Planning,2019,,https://doi.org/10.1109/icetas48360.2019.9117478,15,https://openalex.org/W3036868238,False
OpenAlex,Deep reinforcement learning-based model-free path planning and collision avoidance for UAVs: A soft actor–critic with hindsight experience replay approach,2022,,https://doi.org/10.1016/j.icte.2022.06.004,30,https://openalex.org/W4282836858,False
OpenAlex,Deep Reinforcement Learning Based Freshness-Aware Path Planning for UAV-Assisted Edge Computing Networks with Device Mobility,2022,,https://doi.org/10.3390/rs14164016,20,https://openalex.org/W4293817247,False
OpenAlex,When digital twin meets deep reinforcement learning in multi-UAV path planning,2022,,https://doi.org/10.1145/3555661.3560865,15,https://openalex.org/W4307186829,False
OpenAlex,UAV Path Planning for Wireless Data Harvesting: A Deep Reinforcement Learning Approach,2020,,https://doi.org/10.1109/globecom42002.2020.9322234,19,https://openalex.org/W3124801690,False
OpenAlex,Collaborative Coverage Path Planning of UAV Cluster based on Deep Reinforcement Learning,2021,,https://doi.org/10.1109/icftic54370.2021.9647298,12,https://openalex.org/W4200442992,False
OpenAlex,Improve exploration in deep reinforcement learning for UAV path planning using state and action entropy,2024,,https://doi.org/10.1088/1361-6501/ad2663,13,https://openalex.org/W4391544046,False
OpenAlex,Multiple UAVs Path Planning Based on Deep Reinforcement Learning in Communication Denial Environment,2023,,https://doi.org/10.3390/math11020405,19,https://openalex.org/W4316038501,False
OpenAlex,Interference Management for Cellular-Connected UAVs: A Deep Reinforcement Learning Approach,2019,,https://doi.org/10.1109/twc.2019.2900035,359,https://openalex.org/W3106530718,False
OpenAlex,Multi-UAV simultaneous target assignment and path planning based on deep reinforcement learning in dynamic multiple obstacles environments,2024,,https://doi.org/10.3389/fnbot.2023.1302898,13,https://openalex.org/W4391108614,False
OpenAlex,RIS-Assisted Jamming Rejection and Path Planning for UAV-Borne IoT Platform: A New Deep Reinforcement Learning Framework,2023,,https://doi.org/10.1109/jiot.2023.3283502,25,https://openalex.org/W4379618794,False
